Web site,Owner Name,Company name,Address,Locality,Postal code,Phone number,Region,Hours,Price range,Longitude,Latitude,Rating,More info,Established Year,Category,keyword,Review,LastReviewDate,OwnerNameLink,Yelp Id
http://barrelroom.co/,Lesley C.,The Barrel Room,2200 Ozark Hwy||Ste B,Enterprise,36330,(334) 417-0227,AL, Mon 10:30 am - 12:00 am ||Tue 10:30 am - 12:00 am Closed now ||Wed 10:30 am - 12:00 am ||Thu 10:30 am - 12:00 am ||Fri 10:30 am - 2:00 am ||Sat 10:30 am - 2:00 am ||Sun Closed,$$$ || $,-85.836396,31.346857,4,"Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Accepts Bitcoin --> No | Parking --> Street | Bike Parking --> Yes | Wheelchair Accessible --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Music --> Background | Good For Dancing --> No | Alcohol --> Full Bar | Happy Hour --> No | Best Nights --> Tue, Fri, Sat | Coat Check --> No | Smoking --> Outdoor Area / Patio Only | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Dogs Allowed --> No | Caters --> No ", Established in 2015.,"Beer Bar , American (New) , Cocktail Bars",Bars,29,01-06-2018,http://www.yelp.com/user_details?userid=bl74m860XUwDq69RaXUCJw,p5uCaepjZsmj8636Dz7wig
,Tellit B.,Trojan Tavern,203 Love St,Troy,36081,,AL, Mon 4:00 pm - 2:00 am ||Tue 4:00 pm - 2:00 am Closed now ||Wed 4:00 pm - 2:00 am ||Thu 4:00 pm - 2:00 am ||Fri 4:00 pm - 2:00 am ||Sat 4:00 pm - 2:00 am ||Sun Closed,,-85.97131804,31.80640212,5,,,Cocktail Bars,Bars,1,07-05-2017,http://www.yelp.com/user_details?userid=EkUOdHnL_-60VGfW0LDbiA,P4QcfG1c_fTiQgDxIpJ7Tg
http://www.brobible.com/,Zachary H.,The Cock Pit,Charleston Dr,Enterprise,36330,(334) 867-5309,AL,, || $$$$,-85.801132,31.3212886,5,Takes Reservations --> Yes | Good for Groups --> No ,,"Bed & Breakfast , Sports Bars",Bars,1,08-02-2014,http://www.yelp.com/user_details?userid=HJX0sIkCJgwVdGAAq3RceA,9dJbni-cvD6Uhf70rCok5w
http://www.halfshelloyster.com/,Guy P.,Half Shell Oyster Bar & Grill,119 Southland Vlg,Troy,36079,(334) 566-1254,AL, Mon 11:00 am - 9:00 pm ||Tue 11:00 am - 9:00 pm Closed now ||Wed 11:00 am - 9:00 pm ||Thu 11:00 am - 10:00 pm ||Fri 11:00 am - 10:00 pm ||Sat 11:00 am - 10:00 pm ||Sun Closed,$$ || $$,-85.96512903,31.78396711,3.5,Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Parking --> Private Lot | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> No | Wi-Fi --> No | Has TV --> Yes | Caters --> No | Has Pool Table --> Yes ,,"American (New) , Seafood , Bars",Bars,23,01-06-2018,http://www.yelp.com/user_details?userid=vFNf_gEqxjAi1_FGNi7PXQ,-R6TBhYsTyFkahMnRQK_5g
http://www.thedirtypearl.com,Dave W.,The Dirty Pearl Oyster Pub & Grill,901 S 3 Notch St,Troy,36081,(334) 770-0550,AL, Mon 4:00 pm - 9:00 pm ||Tue 4:00 pm - 9:00 pm Closed now ||Wed 4:00 pm - 9:00 pm ||Thu 11:00 am - 10:00 pm ||Fri 11:00 am - 10:00 pm ||Sat 11:00 am - 10:00 pm ||Sun Closed,$$ || $$,-85.9763996,31.7922825,3.5,Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Loud | Alcohol --> Full Bar | Outdoor Seating --> Yes | Has TV --> Yes | Waiter Service --> Yes ,,"Seafood , American (Traditional)",Bars,5,7/21/2016,http://www.yelp.com/user_details?userid=LrRaW4ffM8nVX2oVgSC04g,CO1h2G7cyNhXjp_8mU5QOA
,Frank A.,Tabby D’s,1421 Dr M L K Jr Expy,Andalusia,36420,(334) 222-0878,AL, Mon 9:00 am - 5:30 pm ||Tue 9:00 am - 5:30 pm Closed now ||Wed 9:00 am - 5:30 pm ||Thu 9:00 am - 5:30 pm ||Fri 9:00 am - 5:30 pm ||Sat 10:00 am - 3:00 pm ||Sun Closed,,-86.456423,31.322847,4,Accepts Credit Cards --> Yes | Good for Kids --> Yes | Good for Groups --> Yes ,,American (Traditional),Bars,7,9/20/2017,http://www.yelp.com/user_details?userid=MmgglFjOGqBFhPd_Fw8onA,HusUli9Bn7PBVh1sJ1MvuQ
http://bananaskaraoke.com/,Steven G.,Bananas,621 Boll Weevil Cir||Ste 11,Enterprise,36330,(334) 417-0106,AL, Mon Closed ||Tue 6:00 pm - 2:00 am Closed now ||Wed 6:00 pm - 2:00 am ||Thu 6:00 pm - 2:00 am ||Fri 6:00 pm - 2:00 am ||Sat 6:00 pm - 2:00 am ||Sun Closed,$$$ || $,-85.832303,31.322111,3.5,Takes Reservations --> No | Accepts Credit Cards --> Yes | Bike Parking --> No | Good for Groups --> Yes | Noise Level --> Loud | Good For Dancing --> Yes | Alcohol --> Full Bar | Happy Hour --> Yes | Coat Check --> No | Outdoor Seating --> No | Has TV --> Yes ,,"Karaoke , Bars",Bars,4,8/18/2017,http://www.yelp.com/user_details?userid=XQe1tzCM5VHB1m7h2F5FAQ,cKitG9ymZP4ULsKBGLpUbw
http://www.therawlsrestaurant.com,Larry A.,The Rawls Restaurant,116 S Main St||Ste 107,Enterprise,36330,(334) 308-9387,AL, Mon Closed ||Tue 11:00 am - 2:00 pm 5:00 pm - 9:00 pm Closed now ||Wed 11:00 am - 2:00 pm 5:00 pm - 9:00 pm ||Thu 11:00 am - 2:00 pm 5:00 pm - 9:00 pm ||Fri 11:00 am - 2:00 pm 5:00 pm - 9:00 pm ||Sat 5:00 pm - 9:00 pm ||Sun Closed,$ || $$$,-85.853947,31.313646,4,"Takes Reservations --> Yes | Delivery --> No | Take-out --> No | Accepts Credit Cards --> Yes | Parking --> Street | Bike Parking --> Yes | Good for Kids --> No | Good for Groups --> Yes | Attire --> Casual | Ambience --> Intimate, Romantic, Upscale | Noise Level --> Quiet | Alcohol --> Full Bar | Outdoor Seating --> No | Has TV --> No | Caters --> No | Has Pool Table --> No ", Established in 1903.,"American (Traditional) , Bars , Breakfast & Brunch",Bars,43,12/18/2017,http://www.yelp.com/user_details?userid=E1y8ImGSlzsVZa5LeAl9fg,DMz79KuqlapGpWeAxBMtHQ
,Denise S.,Preston’s - Troy,1647 US 231 S,Troy,36081,(334) 770-0675,AL, Mon Closed ||Tue 11:00 am - 8:00 pm Closed now ||Wed 11:00 am - 8:00 pm ||Thu 11:00 am - 9:00 pm ||Fri 11:00 am - 10:00 pm ||Sat 11:00 am - 10:00 pm ||Sun 11:00 am - 8:00 pm,$$ || $$,-85.9373552,31.7776621,4.5,Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Bike Parking --> Yes | Good for Kids --> Yes | Attire --> Casual | Noise Level --> Quiet | Alcohol --> Full Bar | Outdoor Seating --> No | Has TV --> Yes | Waiter Service --> Yes , Established in 2013.,"American (Traditional) , Steakhouses , Chicken Wings",Bars,13,1/20/2018,http://www.yelp.com/user_details?userid=ynuUVyhW8ldK7GQTqs3OnA,Hjk0ymz_SrkonUv4T_Zhkw
http://www.BeefOBradys.com,Louise M.,Beef ‘O’ Brady’s,300 Westgate Plz,Andalusia,36420,(334) 222-9888,AL, Mon 11:00 am - 10:00 pm ||Tue 11:00 am - 10:00 pm Closed now ||Wed 11:00 am - 10:00 pm ||Thu 11:00 am - 10:00 pm ||Fri 11:00 am - 11:00 pm ||Sat 11:00 am - 11:00 pm ||Sun 11:00 am - 10:00 pm,$$ || $$,-86.5010759,31.3086463,3,Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Has Pool Table --> No ,,"Pubs , Sports Bars , American (Traditional)",Bars,8,8/31/2017,http://www.yelp.com/user_details?userid=DUXnK0fkAwcYLzp5VMHmnA,WC5aVcZC_7TQn_h-vJ0F2g
